cell_id,step_ix,simulation_i,sim_time,,
cell825,5327,10,174,,
cell826,2865,5,990,,
cell827,2950,6,12,,
cell828,1118,2,940,,
cell829,209,1,270,,
cell830,86,1,24.08333333,,
cell831,5301,10,122.0833333,,
cell832,2573,5,406.0833333,,
cell833,1919,4,246,,
cell834,3750,7,464.0833333,,
cell835,3983,7,930,,
cell836,473,1,798,,
cell837,2625,5,510.0833333,,
cell838,3693,7,350.0833333,,
cell839,3276,6,664,,
cell840,4883,9,434.0833333,,
cell841,5618,10,756,,
cell842,1645,3,846,,
cell843,5280,10,80.08333333,,
cell844,2411,5,82.08333333,,
cell845,2944,6,0,,
cell846,5152,9,972,,
cell847,189,1,230,,
cell848,3190,6,492.0833333,,
cell849,91,1,34.08333333,,
cell850,4173,8,162,,
cell851,4820,9,308.0833333,,
cell852,4820,9,308.0833333,,
cell853,4188,8,192,,
cell854,904,2,512.0833333,,
cell855,4376,8,568.0833333,,
cell856,4868,9,404.0833333,,
cell857,1294,3,144.0833333,,
cell858,707,2,118.0833333,,
cell859,4213,8,242,,
cell860,1461,3,478.0833333,,
cell861,267,1,386.0833333,,
cell862,3185,6,482.0833333,,
cell863,3152,6,416.0833333,,
cell864,125,1,102.0833333,,
cell865,5701,10,922,,
cell866,904,2,512.0833333,,
cell867,3397,6,906,,
cell868,2372,5,4,,
cell869,1640,3,836,,
cell870,1925,4,258,,
cell871,5337,10,194,,
cell872,674,2,52,,
cell873,3309,6,730,,
cell874,2219,4,846,,
cell875,4318,8,452.0833333,,
cell876,4810,9,288,,
cell877,1266,3,88.08333333,,
cell878,547,1,946,,
cell879,4870,9,408.0833333,,
cell880,1899,4,206,,
cell881,322,1,496.0833333,,
cell882,4147,8,110.0833333,,
cell883,4285,8,386.0833333,,
cell884,5574,10,668,,
cell885,2539,5,338.0833333,,
cell886,1573,3,702,,
cell887,4676,9,20.08333333,,
cell888,736,2,176,,
cell889,2254,4,916,,
cell890,1431,3,418.0833333,,
cell891,1900,4,208,,
cell892,3418,6,948,,
cell893,318,1,488.0833333,,
cell894,76,1,4,,
cell895,2463,5,186,,
cell896,300,1,452.0833333,,
cell897,1312,3,180,,
cell898,204,1,260,,
cell899,1701,3,958,,
cell900,3591,7,146.0833333,,
cell901,2970,6,52,,
cell902,1839,4,86.08333333,,
cell903,3046,6,204,,
cell904,2651,5,562.0833333,,
cell905,1857,4,122.0833333,,
cell906,5292,10,104.0833333,,
cell907,1968,4,344.0833333,,
cell908,427,1,706,,
cell909,1439,3,434.0833333,,
cell910,659,2,22.08333333,,
cell911,2734,5,728,,
cell912,333,1,518.0833333,,
cell913,4815,9,298,,
cell914,3443,6,998,,
cell915,2690,5,640,,
cell916,5260,10,40,,
cell917,3518,7,0,,
cell918,2425,5,110.0833333,,
cell919,1130,2,964,,
cell920,1301,3,158,,
cell921,127,1,106.0833333,,
cell922,3375,6,862,,
cell923,2549,5,358.0833333,,
cell924,892,2,488.0833333,,
cell925,5402,10,324.0833333,,
cell926,4740,9,148.0833333,,
cell927,3175,6,462.0833333,,
cell928,2805,5,870,,
cell929,1107,2,918,,
cell930,3177,6,466.0833333,,
cell931,1957,4,322.0833333,,
cell932,3298,6,708,,
cell933,3524,7,12,,
cell934,150,1,152.0833333,,
cell935,3845,7,654,,
cell936,2186,4,780,,
cell937,4091,8,0,,
cell938,2397,5,54,,
